DEPARTMENT,DATE ,CARBON (metric tonne),ELECTRICITY (kwh),WATER (m3)
Finance,1/1/18,18,15,0.8
IT,1/1/18,30,35,1.9
Logistics,1/1/18,28,23,1.4
Finance,2/1/18,18.06,13.36,0.6
IT,2/1/18,28.35,34.99,2.09
Logistics,2/1/18,29.04,23.59,1.43
Finance,3/1/18,16.18,12.87,0.68
IT,3/1/18,27.53,36.04,2.18
Logistics,3/1/18,29.1,24.83,1.38
Finance,4/1/18,15.33,14.44,0.92
IT,4/1/18,27.32,34.46,1.9
Logistics,4/1/18,28.41,23.23,1.17
Finance,5/1/18,15.29,14.78,0.98
IT,5/1/18,28.04,33.65,1.78
Logistics,5/1/18,29.8,22.04,1.23
Finance,6/1/18,14.41,12.78,1.05
IT,6/1/18,28.08,32.11,1.98
Logistics,6/1/18,29.6,21.23,1.08
Finance,7/1/18,12.93,14.77,0.81
IT,7/1/18,29.98,33.29,1.78
Logistics,7/1/18,30.22,21.6,1.38
Finance,8/1/18,14.58,16.7,0.69
IT,8/1/18,29.38,31.3,2.02
Logistics,8/1/18,28.39,20.85,1.48
Finance,9/1/18,16.24,18.79,0.64
IT,9/1/18,30.99,30.01,2.27
Logistics,9/1/18,26.96,21.71,1.76
Finance,10/1/18,15.77,20.09,0.53
IT,10/1/18,31.62,29.94,2.47
Logistics,10/1/18,28.3,19.82,2.03
Finance,11/1/18,16.32,18.73,0.23
IT,11/1/18,33.48,32.03,2.52
Logistics,11/1/18,27.13,19.77,2.25
Finance,12/1/18,14.32,19.94,0.5
IT,12/1/18,35.26,31.24,2.48
Logistics,12/1/18,28.87,19.24,2.55
Finance,13/1/18,16.03,20.13,0.47
IT,13/1/18,35.84,31.08,2.67
Logistics,13/1/18,27.25,18.91,2.66
Finance,14/1/18,15.39,19.01,0.44
IT,14/1/18,35.81,29.28,2.55
Logistics,14/1/18,26.98,19.81,2.58
Finance,15/1/18,16.35,17.08,0.52
IT,15/1/18,34.27,29.61,2.82
Logistics,15/1/18,28.07,21.36,2.69
Finance,16/1/18,16.36,16.33,0.59
IT,16/1/18,33.68,30.33,3.11
Logistics,16/1/18,26.83,23.33,2.79
Finance,17/1/18,17.03,16.23,0.56
IT,17/1/18,32.07,29.92,3.05
Logistics,17/1/18,26.51,23.27,2.7
Finance,18/1/18,17.05,14.23,0.28
